set,type,snp_sets,partition,R_R,S_S,S_R,R_S,untypeable
4,simpson_by_group,"36834, 1345043, 196089, 1234915, 1827824",validation,0.5022,0.0000,0.4617,0.774565505,3
4,simpson_by_group,"36834, 1345043, 196089, 1234915, 1827824",all,0.5053,0.0000,0.4648,0.816470301,3
4,simpson_by_group,"6827, 1940709, 1274082, 1373318, 1906180",training,0.6787,0.6995,0.6630,0,0
4,simpson_by_group,"6827, 1940709, 1274082, 1373318, 1906180",validation,0.6747,0.6677,0.6506,0,31
4,simpson_by_group,"6827, 1940709, 1274082, 1373318, 1906180",all,0.6755,0.6740,0.6530,0,31
4,simpson_by_group,"351105, 196090, 8219, 141041, 337222",training,0.6360,0.0000,0.5896,1,0
4,simpson_by_group,"351105, 196090, 8219, 141041, 337222",validation,0.6163,0.0000,0.5701,0.774565508,1
4,simpson_by_group,"351105, 196090, 8219, 141041, 337222",all,0.6202,0.0000,0.5740,0.816470303,1
4,simpson_by_group,"1289429, 2110493, 196090, 73062, 1528224",training,0.6096,0.2652,0.5698,0,0
4,simpson_by_group,"1289429, 2110493, 196090, 73062, 1528224",validation,0.5929,0.2741,0.5528,0,15
4,simpson_by_group,"1289429, 2110493, 196090, 73062, 1528224",all,0.5962,0.2721,0.5562,0,15
5,simpson_by_group,"1246939, 2085564, 1373318, 1245456, 1274140",training,0.7321,0.3259,0.7066,0.81643088,0
5,simpson_by_group,"1246939, 2085564, 1373318, 1245456, 1274140",validation,0.7163,0.3209,0.6779,-0.000267249,33
5,simpson_by_group,"1246939, 2085564, 1373318, 1245456, 1274140",all,0.7195,0.3218,0.6837,0.217992882,33
5,simpson_by_group,"866044, 228586, 196090, 1683106, 1528224",training,0.5443,0.0000,0.5311,0,0
5,simpson_by_group,"866044, 228586, 196090, 1683106, 1528224",validation,0.5430,0.0000,0.5338,0,10
5,simpson_by_group,"866044, 228586, 196090, 1683106, 1528224",all,0.5432,0.0000,0.5333,0,10
5,simpson_by_group,"1265442, 1462000, 1373318, 196090, 15480",training,0.5732,0.0000,0.5893,0,0
5,simpson_by_group,"1265442, 1462000, 1373318, 196090, 15480",validation,0.5803,0.0000,0.5939,0,16
5,simpson_by_group,"1265442, 1462000, 1373318, 196090, 15480",all,0.5789,0.0000,0.5930,0,16
5,simpson_by_group,"1522671, 1245456, 1178456, 196090, 1683106",training,0.5938,0.3966,0.5637,0.707049892,0
5,simpson_by_group,"1522671, 1245456, 1178456, 196090, 1683106",validation,0.5944,0.4335,0.5608,-8.05E-05,28
5,simpson_by_group,"1522671, 1245456, 1178456, 196090, 1683106",all,0.5943,0.4272,0.5614,0.288600746,28
5,simpson_by_group,"2035627, 196090, 223629, 1461802, 40889",training,0.5938,0.0000,0.5554,0.707049892,0
5,simpson_by_group,"2035627, 196090, 223629, 1461802, 40889",validation,0.5958,0.0000,0.5508,-0.000113793,2
5,simpson_by_group,"2035627, 196090, 223629, 1461802, 40889",all,0.5954,0.0000,0.5517,0.235599849,2
5,simpson_by_group,"1764419, 2085564, 1373318, 1940709, 506267",training,0.6384,0.4661,0.6214,0.707049892,0
5,simpson_by_group,"1764419, 2085564, 1373318, 1940709, 506267",validation,0.6410,0.4019,0.6159,-0.00016131,60
5,simpson_by_group,"1764419, 2085564, 1373318, 1940709, 506267",all,0.6405,0.4138,0.6170,0.182429947,60
5,simpson_by_group,"621062, 151001, 1256601, 1373318, 1733775",training,0.5505,0.2695,0.5525,0,0
5,simpson_by_group,"621062, 151001, 1256601, 1373318, 1733775",validation,0.5455,0.3063,0.5466,0,30
5,simpson_by_group,"621062, 151001, 1256601, 1373318, 1733775",all,0.5465,0.3001,0.5478,0,30
5,simpson_by_group,"1041640, 1461802, 196090, 223629, 40889",training,0.5940,0.0678,0.5559,0.707049892,0
5,simpson_by_group,"1041640, 1461802, 196090, 223629, 40889",validation,0.5960,0.0442,0.5511,-0.000113793,2
5,simpson_by_group,"1041640, 1461802, 196090, 223629, 40889",all,0.5956,0.0492,0.5521,0.235599849,2
5,simpson_by_group,"1180051, 1683106, 1404073, 1857406, 196089",training,0.5897,0.2460,0.5371,0,0
5,simpson_by_group,"1180051, 1683106, 1404073, 1857406, 196089",validation,0.5789,0.2923,0.5218,0,13
5,simpson_by_group,"1180051, 1683106, 1404073, 1857406, 196089",all,0.5811,0.2848,0.5248,0,13
5,simpson_by_group,"1373378, 1274140, 1906180, 506267, 1373318",training,0.6485,0.5411,0.6690,0,0
5,simpson_by_group,"1373378, 1274140, 1906180, 506267, 1373318",validation,0.6231,0.4636,0.6433,0,39
5,simpson_by_group,"1373378, 1274140, 1906180, 506267, 1373318",all,0.6282,0.4774,0.6485,0,39
